z,H_over_H0,dL,w_phi,w_tot
8.904346191e-02,1.043937873e+00,9.500454491e-02,-9.997709473e-01,-6.477873143e-01
8.979896888e-02,1.044343136e+00,9.585899685e-02,-9.997697403e-01,-6.473276516e-01
9.055499997e-02,1.044749031e+00,9.671482941e-02,-9.997685277e-01,-6.468677101e-01
9.131155554e-02,1.045155560e+00,9.757204397e-02,-9.997673095e-01,-6.464074906e-01
9.206863597e-02,1.045562722e+00,9.843064193e-02,-9.997660855e-01,-6.459469937e-01
9.282624160e-02,1.045970520e+00,9.929062466e-02,-9.997648559e-01,-6.454862200e-01
9.358437281e-02,1.046378954e+00,1.001519936e-01,-9.997636206e-01,-6.450251703e-01
9.434302996e-02,1.046788025e+00,1.010147500e-01,-9.997623796e-01,-6.445638453e-01
9.510221342e-02,1.047197734e+00,1.018788954e-01,-9.997611328e-01,-6.441022455e-01
9.586192356e-02,1.047608081e+00,1.027444311e-01,-9.997598802e-01,-6.436403718e-01
9.662216073e-02,1.048019068e+00,1.036113586e-01,-9.997586217e-01,-6.431782248e-01
9.738292530e-02,1.048430696e+00,1.044796791e-01,-9.997573575e-01,-6.427158051e-01
9.814421764e-02,1.048842965e+00,1.053493941e-01,-9.997560874e-01,-6.422531135e-01
9.890603811e-02,1.049255877e+00,1.062205051e-01,-9.997548114e-01,-6.417901508e-01
9.966838709e-02,1.049669432e+00,1.070930133e-01,-9.997535295e-01,-6.413269174e-01
1.004312649e-01,1.050083632e+00,1.079669201e-01,-9.997522416e-01,-6.408634143e-01
1.011946720e-01,1.050498476e+00,1.088422270e-01,-9.997509478e-01,-6.403996420e-01
1.019586087e-01,1.050913967e+00,1.097189354e-01,-9.997496480e-01,-6.399356014e-01
1.027230753e-01,1.051330106e+00,1.105970466e-01,-9.997483422e-01,-6.394712930e-01
1.034880723e-01,1.051746891e+00,1.114765621e-01,-9.997470303e-01,-6.390067176e-01
1.042536000e-01,1.052164326e+00,1.123574832e-01,-9.997457124e-01,-6.385418758e-01
