z,a,N,H_over_H0,D,f,sigma8_z,fsigma8
2.786750793,0.26407864014937305,-1.3315083408393813,4.121908578,0.334274353578264,0.9941430429637578,0.26741948286261125,0.2658532184408308
2.784125615,0.2642618405784608,-1.3308148469917107,4.117799701,0.33450488377138954,0.9940676779201335,0.2676039070171116,0.26601639445085545
2.781502256,0.2644451681638769,-1.3301213529024245,4.113695272,0.3347355555293652,0.9939922753377644,0.26778844442349214,0.2661796451816674
2.778880717,0.2646286228356755,-1.3294278591695203,4.109595287,0.3349663687178947,0.9939168350267483,0.26797309497431576,0.26634297042919414
2.776260994,0.2648122048737821,-1.328734365068363,4.105499741,0.33519732364275073,0.9938413566532452,0.2681578589142006,0.26650637030051866
2.773643088,0.26499591420819607,-1.3280408711970537,4.101408631,0.33542842016932456,0.9937658400272534,0.26834273613545967,0.2666698445908667
2.771026997,0.26517975097912033,-1.3273473773595834,4.09732195,0.33565965842733203,0.9936902848722877,0.26852772674186565,0.2668333932822323
2.768412719,0.2653637153271693,-1.3266538833591668,4.093239696,0.33589103854685265,0.9936146909116607,0.26871283083748215,0.2669970163565822
2.765800254,0.2655478072523387,-1.3259603895293364,4.089161863,0.3361225604809711,0.9935390579264196,0.2688980483847769,0.267160713670464
2.763189599,0.265732026966096,-1.3252668954071232,4.085088448,0.3363542244485987,0.9934633856106815,0.26908337955887895,0.2673244852681279
2.760580755,0.26591637439786875,-1.3245734015917066,4.081019445,0.33658603031383005,0.9933876737743762,0.2692688242510641,0.2674883309427259
2.757973719,0.2661008497595616,-1.3238799076192946,4.076954851,0.3368179782958465,0.9933119221113614,0.2694543826366772,0.26765225073816806
2.755368491,0.2662854530511637,-1.3231864138234328,4.07289466,0.33705006834722867,0.9932361304024855,0.26964005467778296,0.2678162445096757
2.752765068,0.2664701844853135,-1.322492919738949,4.068838869,0.33728230068777915,0.9931602983412445,0.26982584055022335,0.2679803123010369
2.750163451,0.26665504399104123,-1.32179942596577,4.064787473,0.3375146751806257,0.9930844257375224,0.2700117401445006,0.2681444539037905
2.747563637,0.26684003178142696,-1.3211059320378953,4.060740468,0.33774719204584497,0.9930085122845668,0.270197753636676,0.2683086693613875
2.744965625,0.2670251479277597,-1.3204124380218494,4.056697848,0.33797985132513003,0.9929325577337922,0.270383881060104,0.26847295859099857
