z,H_over_H0,dL,w_phi,w_tot
1.696793222e-01,1.084279431e+00,1.909792410e-01,-9.996157302e-01,-5.954830990e-01
1.704907690e-01,1.084736071e+00,1.919875107e-01,-9.996138263e-01,-5.949818488e-01
1.713027788e-01,1.085193470e+00,1.929973260e-01,-9.996119139e-01,-5.944804004e-01
1.721153519e-01,1.085651629e+00,1.940086883e-01,-9.996099929e-01,-5.939787549e-01
1.729284887e-01,1.086110547e+00,1.950215991e-01,-9.996080632e-01,-5.934769132e-01
1.737421896e-01,1.086570227e+00,1.960360597e-01,-9.996061249e-01,-5.929748762e-01
1.745564550e-01,1.087030670e+00,1.970520717e-01,-9.996041779e-01,-5.924726450e-01
1.753712852e-01,1.087491875e+00,1.980696365e-01,-9.996022221e-01,-5.919702205e-01
1.761866808e-01,1.087953845e+00,1.990887554e-01,-9.996002576e-01,-5.914676037e-01
1.770026420e-01,1.088416581e+00,2.001094300e-01,-9.995982843e-01,-5.909647956e-01
1.778191693e-01,1.088880083e+00,2.011316616e-01,-9.995963021e-01,-5.904617971e-01
1.786362630e-01,1.089344352e+00,2.021554517e-01,-9.995943110e-01,-5.899586092e-01
1.794539236e-01,1.089809390e+00,2.031808017e-01,-9.995923110e-01,-5.894552330e-01
1.802721514e-01,1.090275197e+00,2.042077131e-01,-9.995903020e-01,-5.889516693e-01
1.810909469e-01,1.090741775e+00,2.052361873e-01,-9.995882841e-01,-5.884479193e-01
1.819103103e-01,1.091209125e+00,2.062662257e-01,-9.995862570e-01,-5.879439838e-01
1.827302422e-01,1.091677247e+00,2.072978298e-01,-9.995842210e-01,-5.874398639e-01
1.835507430e-01,1.092146143e+00,2.083310010e-01,-9.995821758e-01,-5.869355605e-01
1.843718129e-01,1.092615813e+00,2.093657408e-01,-9.995801214e-01,-5.864310746e-01
1.851934524e-01,1.093086260e+00,2.104020505e-01,-9.995780578e-01,-5.859264073e-01
1.860156619e-01,1.093557483e+00,2.114399316e-01,-9.995759850e-01,-5.854215596e-01
1.868384419e-01,1.094029483e+00,2.124793855e-01,-9.995739030e-01,-5.849165323e-01
1.876617926e-01,1.094502263e+00,2.135204138e-01,-9.995718116e-01,-5.844113266e-01
1.884857145e-01,1.094975822e+00,2.145630178e-01,-9.995697109e-01,-5.839059434e-01
1.893102080e-01,1.095450163e+00,2.156071989e-01,-9.995676008e-01,-5.834003838e-01
1.901352734e-01,1.095925285e+00,2.166529587e-01,-9.995654812e-01,-5.828946486e-01
1.909609113e-01,1.096401190e+00,2.177002984e-01,-9.995633522e-01,-5.823887390e-01
1.917871219e-01,1.096877879e+00,2.187492197e-01,-9.995612136e-01,-5.818826559e-01
1.926139057e-01,1.097355354e+00,2.197997238e-01,-9.995590656e-01,-5.813764004e-01
1.934412630e-01,1.097833614e+00,2.208518124e-01,-9.995569079e-01,-5.808699734e-01
1.942691943e-01,1.098312662e+00,2.219054867e-01,-9.995547406e-01,-5.803633760e-01
1.950977000e-01,1.098792497e+00,2.229607482e-01,-9.995525636e-01,-5.798566091e-01
1.959267805e-01,1.099273122e+00,2.240175984e-01,-9.995503769e-01,-5.793496739e-01
1.967564361e-01,1.099754537e+00,2.250760388e-01,-9.995481804e-01,-5.788425712e-01
1.975866672e-01,1.100236744e+00,2.261360706e-01,-9.995459742e-01,-5.783353021e-01
1.984174744e-01,1.100719743e+00,2.271976955e-01,-9.995437581e-01,-5.778278677e-01
1.992488578e-01,1.101203535e+00,2.282609148e-01,-9.995415321e-01,-5.773202689e-01
2.000808181e-01,1.101688122e+00,2.293257300e-01,-9.995392962e-01,-5.768125068e-01
2.009133555e-01,1.102173504e+00,2.303921425e-01,-9.995370503e-01,-5.763045824e-01
2.017464705e-01,1.102659683e+00,2.314601538e-01,-9.995347944e-01,-5.757964966e-01
2.025801634e-01,1.103146659e+00,2.325297652e-01,-9.995325285e-01,-5.752882506e-01
2.034144347e-01,1.103634434e+00,2.336009783e-01,-9.995302525e-01,-5.747798454e-01
2.042492847e-01,1.104123008e+00,2.346737945e-01,-9.995279663e-01,-5.742712819e-01
2.050847139e-01,1.104612384e+00,2.357482152e-01,-9.995256700e-01,-5.737625613e-01
2.059207227e-01,1.105102561e+00,2.368242419e-01,-9.995233634e-01,-5.732536845e-01
2.067573115e-01,1.105593541e+00,2.379018759e-01,-9.995210466e-01,-5.727446525e-01
2.075944806e-01,1.106085325e+00,2.389811189e-01,-9.995187195e-01,-5.722354665e-01
2.084322305e-01,1.106577914e+00,2.400619721e-01,-9.995163820e-01,-5.717261274e-01
2.092705616e-01,1.107071309e+00,2.411444371e-01,-9.995140341e-01,-5.712166362e-01
2.101094742e-01,1.107565511e+00,2.422285153e-01,-9.995116758e-01,-5.707069941e-01
2.109489688e-01,1.108060521e+00,2.433142081e-01,-9.995093070e-01,-5.701972019e-01
2.117890459e-01,1.108556341e+00,2.444015170e-01,-9.995069276e-01,-5.696872609e-01
2.126297057e-01,1.109052970e+00,2.454904434e-01,-9.995045377e-01,-5.691771720e-01
2.134709487e-01,1.109550411e+00,2.465809887e-01,-9.995021372e-01,-5.686669362e-01
2.143127753e-01,1.110048664e+00,2.476731545e-01,-9.994997260e-01,-5.681565546e-01
2.151551859e-01,1.110547731e+00,2.487669421e-01,-9.994973041e-01,-5.676460283e-01
2.159981809e-01,1.111047612e+00,2.498623531e-01,-9.994948714e-01,-5.671353582e-01
2.168417607e-01,1.111548309e+00,2.509593888e-01,-9.994924279e-01,-5.666245454e-01
2.176859258e-01,1.112049823e+00,2.520580506e-01,-9.994899736e-01,-5.661135911e-01
2.185306764e-01,1.112552154e+00,2.531583402e-01,-9.994875084e-01,-5.656024961e-01
2.193760132e-01,1.113055304e+00,2.542602588e-01,-9.994850323e-01,-5.650912616e-01
2.202219363e-01,1.113559273e+00,2.553638079e-01,-9.994825452e-01,-5.645798887e-01
2.210684463e-01,1.114064064e+00,2.564689890e-01,-9.994800470e-01,-5.640683783e-01
2.219155435e-01,1.114569677e+00,2.575758036e-01,-9.994775378e-01,-5.635567315e-01
2.227632284e-01,1.115076112e+00,2.586842530e-01,-9.994750174e-01,-5.630449494e-01
2.236115014e-01,1.115583372e+00,2.597943388e-01,-9.994724859e-01,-5.625330330e-01
2.244603629e-01,1.116091457e+00,2.609060623e-01,-9.994699431e-01,-5.620209834e-01
2.253098132e-01,1.116600368e+00,2.620194251e-01,-9.994673891e-01,-5.615088016e-01
2.261598528e-01,1.117110106e+00,2.631344285e-01,-9.994648238e-01,-5.609964888e-01
2.270104822e-01,1.117620673e+00,2.642510741e-01,-9.994622471e-01,-5.604840459e-01
