z,H_over_H0,dL,w_phi,w_tot
8.979896888e-02,1.043254528e+00,9.584716607e-02,-9.997704069e-01,-6.432369258e-01
9.055499997e-02,1.043642034e+00,9.670382087e-02,-9.997692071e-01,-6.427593499e-01
9.131155554e-02,1.044030203e+00,9.756187267e-02,-9.997680018e-01,-6.422814902e-01
9.206863597e-02,1.044419036e+00,9.842132287e-02,-9.997667909e-01,-6.418033475e-01
9.282624160e-02,1.044808533e+00,9.928217286e-02,-9.997655744e-01,-6.413249227e-01
9.358437281e-02,1.045198695e+00,1.001444240e-01,-9.997643522e-01,-6.408462164e-01
9.434302996e-02,1.045589524e+00,1.010080778e-01,-9.997631245e-01,-6.403672294e-01
9.510221342e-02,1.045981021e+00,1.018731355e-01,-9.997618911e-01,-6.398879627e-01
9.586192356e-02,1.046373186e+00,1.027395985e-01,-9.997606520e-01,-6.394084169e-01
9.662216073e-02,1.046766020e+00,1.036074683e-01,-9.997594072e-01,-6.389285928e-01
9.738292530e-02,1.047159525e+00,1.044767463e-01,-9.997581566e-01,-6.384484913e-01
9.814421764e-02,1.047553701e+00,1.053474337e-01,-9.997569003e-01,-6.379681131e-01
9.890603811e-02,1.047948549e+00,1.062195322e-01,-9.997556382e-01,-6.374874591e-01
9.966838709e-02,1.048344070e+00,1.070930429e-01,-9.997543703e-01,-6.370065300e-01
1.004312649e-01,1.048740265e+00,1.079679674e-01,-9.997530965e-01,-6.365253267e-01
1.011946720e-01,1.049137136e+00,1.088443069e-01,-9.997518169e-01,-6.360438499e-01
1.019586087e-01,1.049534682e+00,1.097220630e-01,-9.997505314e-01,-6.355621005e-01
1.027230753e-01,1.049932906e+00,1.106012370e-01,-9.997492400e-01,-6.350800793e-01
1.034880723e-01,1.050331807e+00,1.114818303e-01,-9.997479426e-01,-6.345977871e-01
1.042536000e-01,1.050731387e+00,1.123638443e-01,-9.997466393e-01,-6.341152247e-01
1.050196588e-01,1.051131647e+00,1.132472804e-01,-9.997453300e-01,-6.336323930e-01
1.057862490e-01,1.051532587e+00,1.141321400e-01,-9.997440147e-01,-6.331492927e-01
