z,H_over_H0,dL,w_phi,w_tot
8.753401889e-02,1.043129240e+00,9.329977732e-02,-9.997733445e-01,-6.487058006e-01
8.828847871e-02,1.043533241e+00,9.415147217e-02,-9.997721487e-01,-6.482466975e-01
8.904346191e-02,1.043937872e+00,9.500454488e-02,-9.997709473e-01,-6.477873143e-01
8.979896888e-02,1.044343135e+00,9.585899682e-02,-9.997697403e-01,-6.473276516e-01
9.055499997e-02,1.044749031e+00,9.671482938e-02,-9.997685277e-01,-6.468677101e-01
9.131155554e-02,1.045155559e+00,9.757204394e-02,-9.997673095e-01,-6.464074906e-01
9.206863597e-02,1.045562722e+00,9.843064190e-02,-9.997660855e-01,-6.459469937e-01
9.282624160e-02,1.045970520e+00,9.929062463e-02,-9.997648559e-01,-6.454862200e-01
9.358437281e-02,1.046378954e+00,1.001519935e-01,-9.997636206e-01,-6.450251703e-01
9.434302996e-02,1.046788025e+00,1.010147500e-01,-9.997623796e-01,-6.445638453e-01
9.510221342e-02,1.047197734e+00,1.018788954e-01,-9.997611328e-01,-6.441022455e-01
9.586192356e-02,1.047608081e+00,1.027444311e-01,-9.997598802e-01,-6.436403718e-01
9.662216073e-02,1.048019069e+00,1.036113585e-01,-9.997586217e-01,-6.431782248e-01
9.738292530e-02,1.048430697e+00,1.044796791e-01,-9.997573575e-01,-6.427158051e-01
9.814421764e-02,1.048842966e+00,1.053493941e-01,-9.997560874e-01,-6.422531135e-01
9.890603811e-02,1.049255878e+00,1.062205050e-01,-9.997548114e-01,-6.417901508e-01
9.966838709e-02,1.049669433e+00,1.070930132e-01,-9.997535295e-01,-6.413269174e-01
1.004312649e-01,1.050083633e+00,1.079669201e-01,-9.997522416e-01,-6.408634143e-01
1.011946720e-01,1.050498477e+00,1.088422270e-01,-9.997509478e-01,-6.403996421e-01
1.019586087e-01,1.050913968e+00,1.097189354e-01,-9.997496480e-01,-6.399356014e-01
1.027230753e-01,1.051330106e+00,1.105970466e-01,-9.997483422e-01,-6.394712930e-01
1.034880723e-01,1.051746892e+00,1.114765620e-01,-9.997470303e-01,-6.390067176e-01
1.042536000e-01,1.052164327e+00,1.123574831e-01,-9.997457124e-01,-6.385418758e-01
1.050196588e-01,1.052582412e+00,1.132398112e-01,-9.997443883e-01,-6.380767685e-01
1.057862490e-01,1.053001148e+00,1.141235477e-01,-9.997430582e-01,-6.376113964e-01
1.065533710e-01,1.053420535e+00,1.150086940e-01,-9.997417219e-01,-6.371457600e-01
1.073210252e-01,1.053840575e+00,1.158952516e-01,-9.997403794e-01,-6.366798602e-01
1.080892119e-01,1.054261269e+00,1.167832217e-01,-9.997390308e-01,-6.362136977e-01
1.088579316e-01,1.054682617e+00,1.176726058e-01,-9.997376759e-01,-6.357472732e-01
1.096271845e-01,1.055104621e+00,1.185634053e-01,-9.997363147e-01,-6.352805873e-01
1.103969712e-01,1.055527281e+00,1.194556216e-01,-9.997349473e-01,-6.348136410e-01
1.111672918e-01,1.055950599e+00,1.203492561e-01,-9.997335736e-01,-6.343464347e-01
1.119381468e-01,1.056374574e+00,1.212443102e-01,-9.997321935e-01,-6.338789694e-01
1.127095366e-01,1.056799209e+00,1.221407852e-01,-9.997308071e-01,-6.334112457e-01
1.134814615e-01,1.057224504e+00,1.230386826e-01,-9.997294143e-01,-6.329432643e-01
1.142539220e-01,1.057650460e+00,1.239380038e-01,-9.997280150e-01,-6.324750260e-01
1.150269183e-01,1.058077079e+00,1.248387502e-01,-9.997266094e-01,-6.320065316e-01
1.158004509e-01,1.058504360e+00,1.257409231e-01,-9.997251972e-01,-6.315377817e-01
1.165745201e-01,1.058932305e+00,1.266445240e-01,-9.997237786e-01,-6.310687771e-01
1.173491263e-01,1.059360915e+00,1.275495543e-01,-9.997223534e-01,-6.305995185e-01
1.181242699e-01,1.059790191e+00,1.284560154e-01,-9.997209217e-01,-6.301300067e-01
1.188999512e-01,1.060220133e+00,1.293639086e-01,-9.997194834e-01,-6.296602424e-01
1.196761707e-01,1.060650743e+00,1.302732354e-01,-9.997180384e-01,-6.291902264e-01
1.204529286e-01,1.061082022e+00,1.311839972e-01,-9.997165869e-01,-6.287199594e-01
1.212302254e-01,1.061513971e+00,1.320961954e-01,-9.997151286e-01,-6.282494422e-01
1.220080615e-01,1.061946590e+00,1.330098313e-01,-9.997136637e-01,-6.277786755e-01
1.227864371e-01,1.062379880e+00,1.339249065e-01,-9.997121921e-01,-6.273076600e-01
1.235653527e-01,1.062813843e+00,1.348414222e-01,-9.997107137e-01,-6.268363966e-01
1.243448087e-01,1.063248480e+00,1.357593800e-01,-9.997092285e-01,-6.263648860e-01
1.251248054e-01,1.063683790e+00,1.366787811e-01,-9.997077364e-01,-6.258931290e-01
1.259053433e-01,1.064119776e+00,1.375996270e-01,-9.997062376e-01,-6.254211262e-01
1.266864226e-01,1.064556439e+00,1.385219192e-01,-9.997047319e-01,-6.249488785e-01
1.274680438e-01,1.064993778e+00,1.394456589e-01,-9.997032192e-01,-6.244763866e-01
1.282502072e-01,1.065431796e+00,1.403708477e-01,-9.997016997e-01,-6.240036514e-01
1.290329133e-01,1.065870493e+00,1.412974869e-01,-9.997001732e-01,-6.235306735e-01
1.298161623e-01,1.066309869e+00,1.422255779e-01,-9.996986397e-01,-6.230574537e-01
1.305999547e-01,1.066749927e+00,1.431551222e-01,-9.996970991e-01,-6.225839929e-01
1.313842908e-01,1.067190667e+00,1.440861211e-01,-9.996955516e-01,-6.221102917e-01
1.321691711e-01,1.067632090e+00,1.450185761e-01,-9.996939969e-01,-6.216363510e-01
1.329545958e-01,1.068074197e+00,1.459524885e-01,-9.996924351e-01,-6.211621715e-01
1.337405655e-01,1.068516989e+00,1.468878598e-01,-9.996908662e-01,-6.206877540e-01
1.345270804e-01,1.068960466e+00,1.478246914e-01,-9.996892901e-01,-6.202130994e-01
1.353141409e-01,1.069404630e+00,1.487629847e-01,-9.996877068e-01,-6.197382083e-01
1.361017474e-01,1.069849483e+00,1.497027411e-01,-9.996861163e-01,-6.192630816e-01
1.368899003e-01,1.070295023e+00,1.506439620e-01,-9.996845185e-01,-6.187877200e-01
1.376786000e-01,1.070741254e+00,1.515866488e-01,-9.996829134e-01,-6.183121244e-01
1.384678469e-01,1.071188175e+00,1.525308029e-01,-9.996813010e-01,-6.178362955e-01
1.392576412e-01,1.071635788e+00,1.534764258e-01,-9.996796812e-01,-6.173602341e-01
1.400479835e-01,1.072084094e+00,1.544235189e-01,-9.996780541e-01,-6.168839410e-01
1.408388741e-01,1.072533093e+00,1.553720835e-01,-9.996764195e-01,-6.164074170e-01
1.416303133e-01,1.072982786e+00,1.563221211e-01,-9.996747774e-01,-6.159306629e-01
1.424223016e-01,1.073433176e+00,1.572736331e-01,-9.996731279e-01,-6.154536795e-01
