z,H_over_H0,dL,w_phi,w_tot
6.736012724e-02,1.031362248e+00,7.085856911e-02,-9.998040171e-01,-6.602737330e-01
6.810059173e-02,1.031738485e+00,7.167442703e-02,-9.998029689e-01,-6.598144452e-01
6.884156991e-02,1.032115341e+00,7.249163493e-02,-9.998019158e-01,-6.593548540e-01
6.958306212e-02,1.032492816e+00,7.331019419e-02,-9.998008578e-01,-6.588949601e-01
7.032506874e-02,1.032870911e+00,7.413010618e-02,-9.997997948e-01,-6.584347642e-01
7.106759011e-02,1.033249627e+00,7.495137230e-02,-9.997987268e-01,-6.579742670e-01
7.181062660e-02,1.033628966e+00,7.577399391e-02,-9.997976539e-01,-6.575134691e-01
7.255417856e-02,1.034008927e+00,7.659797240e-02,-9.997965759e-01,-6.570523712e-01
7.329824634e-02,1.034389511e+00,7.742330915e-02,-9.997954929e-01,-6.565909739e-01
7.404283031e-02,1.034770721e+00,7.825000555e-02,-9.997944048e-01,-6.561292780e-01
7.478793082e-02,1.035152556e+00,7.907806298e-02,-9.997933117e-01,-6.556672841e-01
7.553354823e-02,1.035535018e+00,7.990748282e-02,-9.997922134e-01,-6.552049928e-01
7.627968291e-02,1.035918107e+00,8.073826645e-02,-9.997911100e-01,-6.547424050e-01
7.702633520e-02,1.036301825e+00,8.157041527e-02,-9.997900015e-01,-6.542795211e-01
7.777350547e-02,1.036686171e+00,8.240393065e-02,-9.997888878e-01,-6.538163420e-01
7.852119408e-02,1.037071148e+00,8.323881398e-02,-9.997877689e-01,-6.533528684e-01
7.926940139e-02,1.037456756e+00,8.407506664e-02,-9.997866448e-01,-6.528891008e-01
8.001812776e-02,1.037842996e+00,8.491269003e-02,-9.997855154e-01,-6.524250400e-01
8.076737354e-02,1.038229868e+00,8.575168552e-02,-9.997843808e-01,-6.519606868e-01
8.151713910e-02,1.038617375e+00,8.659205451e-02,-9.997832409e-01,-6.514960417e-01
8.226742480e-02,1.039005516e+00,8.743379838e-02,-9.997820957e-01,-6.510311054e-01
8.301823099e-02,1.039394293e+00,8.827691852e-02,-9.997809452e-01,-6.505658788e-01
8.376955805e-02,1.039783706e+00,8.912141632e-02,-9.997797893e-01,-6.501003625e-01
8.452140633e-02,1.040173757e+00,8.996729316e-02,-9.997786280e-01,-6.496345571e-01
8.527377619e-02,1.040564446e+00,9.081455044e-02,-9.997774614e-01,-6.491684634e-01
8.602666800e-02,1.040955775e+00,9.166318954e-02,-9.997762893e-01,-6.487020821e-01
8.678008211e-02,1.041347743e+00,9.251321186e-02,-9.997751118e-01,-6.482354140e-01
8.753401889e-02,1.041740353e+00,9.336461878e-02,-9.997739288e-01,-6.477684596e-01
8.828847871e-02,1.042133605e+00,9.421741170e-02,-9.997727403e-01,-6.473012198e-01
8.904346191e-02,1.042527500e+00,9.507159200e-02,-9.997715463e-01,-6.468336952e-01
8.979896888e-02,1.042922039e+00,9.592716107e-02,-9.997703467e-01,-6.463658866e-01
9.055499997e-02,1.043317222e+00,9.678412032e-02,-9.997691416e-01,-6.458977947e-01
9.131155554e-02,1.043713051e+00,9.764247113e-02,-9.997679309e-01,-6.454294201e-01
9.206863597e-02,1.044109527e+00,9.850221489e-02,-9.997667146e-01,-6.449607637e-01
9.282624160e-02,1.044506651e+00,9.936335300e-02,-9.997654927e-01,-6.444918262e-01
9.358437281e-02,1.044904423e+00,1.002258869e-01,-9.997642650e-01,-6.440226083e-01
9.434302996e-02,1.045302844e+00,1.010898178e-01,-9.997630318e-01,-6.435531106e-01
9.510221342e-02,1.045701916e+00,1.019551474e-01,-9.997617928e-01,-6.430833340e-01
9.586192356e-02,1.046101639e+00,1.028218768e-01,-9.997605480e-01,-6.426132792e-01
9.662216073e-02,1.046502015e+00,1.036900075e-01,-9.997592975e-01,-6.421429469e-01
9.738292530e-02,1.046903043e+00,1.045595410e-01,-9.997580413e-01,-6.416723379e-01
9.814421764e-02,1.047304726e+00,1.054304786e-01,-9.997567792e-01,-6.412014529e-01
9.890603811e-02,1.047707064e+00,1.063028217e-01,-9.997555113e-01,-6.407302926e-01
9.966838709e-02,1.048110058e+00,1.071765717e-01,-9.997542375e-01,-6.402588577e-01
1.004312649e-01,1.048513708e+00,1.080517299e-01,-9.997529578e-01,-6.397871491e-01
1.011946720e-01,1.048918017e+00,1.089282979e-01,-9.997516723e-01,-6.393151675e-01
1.019586087e-01,1.049322984e+00,1.098062770e-01,-9.997503808e-01,-6.388429136e-01
1.027230753e-01,1.049728611e+00,1.106856686e-01,-9.997490833e-01,-6.383703882e-01
1.034880723e-01,1.050134898e+00,1.115664740e-01,-9.997477799e-01,-6.378975921e-01
1.042536000e-01,1.050541847e+00,1.124486948e-01,-9.997464704e-01,-6.374245259e-01
1.050196588e-01,1.050949459e+00,1.133323322e-01,-9.997451549e-01,-6.369511905e-01
1.057862490e-01,1.051357734e+00,1.142173878e-01,-9.997438334e-01,-6.364775866e-01
1.065533710e-01,1.051766674e+00,1.151038628e-01,-9.997425058e-01,-6.360037149e-01
1.073210252e-01,1.052176279e+00,1.159917587e-01,-9.997411720e-01,-6.355295763e-01
1.080892119e-01,1.052586550e+00,1.168810769e-01,-9.997398321e-01,-6.350551715e-01
1.088579316e-01,1.052997488e+00,1.177718188e-01,-9.997384860e-01,-6.345805013e-01
1.096271845e-01,1.053409095e+00,1.186639858e-01,-9.997371338e-01,-6.341055664e-01
1.103969712e-01,1.053821371e+00,1.195575793e-01,-9.997357753e-01,-6.336303676e-01
1.111672918e-01,1.054234317e+00,1.204526007e-01,-9.997344106e-01,-6.331549058e-01
1.119381468e-01,1.054647934e+00,1.213490514e-01,-9.997330396e-01,-6.326791816e-01
1.127095366e-01,1.055062223e+00,1.222469328e-01,-9.997316623e-01,-6.322031958e-01
1.134814615e-01,1.055477184e+00,1.231462463e-01,-9.997302787e-01,-6.317269493e-01
1.142539220e-01,1.055892820e+00,1.240469933e-01,-9.997288887e-01,-6.312504427e-01
1.150269183e-01,1.056309131e+00,1.249491753e-01,-9.997274923e-01,-6.307736770e-01
1.158004509e-01,1.056726117e+00,1.258527936e-01,-9.997260895e-01,-6.302966528e-01
1.165745201e-01,1.057143780e+00,1.267578496e-01,-9.997246803e-01,-6.298193711e-01
1.173491263e-01,1.057562121e+00,1.276643447e-01,-9.997232646e-01,-6.293418324e-01
1.181242699e-01,1.057981140e+00,1.285722804e-01,-9.997218425e-01,-6.288640377e-01
1.188999512e-01,1.058400839e+00,1.294816580e-01,-9.997204138e-01,-6.283859878e-01
1.196761707e-01,1.058821218e+00,1.303924789e-01,-9.997189785e-01,-6.279076834e-01
1.204529286e-01,1.059242279e+00,1.313047447e-01,-9.997175367e-01,-6.274291253e-01
1.212302254e-01,1.059664023e+00,1.322184566e-01,-9.997160883e-01,-6.269503144e-01
1.220080615e-01,1.060086450e+00,1.331336160e-01,-9.997146333e-01,-6.264712514e-01
1.227864371e-01,1.060509561e+00,1.340502245e-01,-9.997131715e-01,-6.259919372e-01
1.235653527e-01,1.060933358e+00,1.349682833e-01,-9.997117031e-01,-6.255123725e-01
1.243448087e-01,1.061357840e+00,1.358877940e-01,-9.997102280e-01,-6.250325582e-01
1.251248054e-01,1.061783011e+00,1.368087578e-01,-9.997087461e-01,-6.245524950e-01
1.259053433e-01,1.062208869e+00,1.377311763e-01,-9.997072575e-01,-6.240721838e-01
1.266864226e-01,1.062635417e+00,1.386550508e-01,-9.997057620e-01,-6.235916254e-01
1.274680438e-01,1.063062655e+00,1.395803828e-01,-9.997042597e-01,-6.231108206e-01
1.282502072e-01,1.063490583e+00,1.405071735e-01,-9.997027506e-01,-6.226297702e-01
1.290329133e-01,1.063919204e+00,1.414354246e-01,-9.997012345e-01,-6.221484751e-01
1.298161623e-01,1.064348519e+00,1.423651373e-01,-9.996997116e-01,-6.216669360e-01
1.305999547e-01,1.064778527e+00,1.432963132e-01,-9.996981817e-01,-6.211851538e-01
1.313842908e-01,1.065209230e+00,1.442289535e-01,-9.996966448e-01,-6.207031293e-01
1.321691711e-01,1.065640629e+00,1.451630597e-01,-9.996951008e-01,-6.202208633e-01
1.329545958e-01,1.066072725e+00,1.460986332e-01,-9.996935499e-01,-6.197383568e-01
1.337405655e-01,1.066505519e+00,1.470356755e-01,-9.996919918e-01,-6.192556104e-01
1.345270804e-01,1.066939012e+00,1.479741880e-01,-9.996904267e-01,-6.187726250e-01
1.353141409e-01,1.067373204e+00,1.489141720e-01,-9.996888544e-01,-6.182894015e-01
1.361017474e-01,1.067808098e+00,1.498556289e-01,-9.996872750e-01,-6.178059406e-01
1.368899003e-01,1.068243693e+00,1.507985603e-01,-9.996856884e-01,-6.173222433e-01
1.376786000e-01,1.068679991e+00,1.517429675e-01,-9.996840945e-01,-6.168383104e-01
1.384678469e-01,1.069116993e+00,1.526888519e-01,-9.996824934e-01,-6.163541427e-01
1.392576412e-01,1.069554700e+00,1.536362149e-01,-9.996808850e-01,-6.158697411e-01
1.400479835e-01,1.069993112e+00,1.545850580e-01,-9.996792693e-01,-6.153851063e-01
1.408388741e-01,1.070432231e+00,1.555353826e-01,-9.996776462e-01,-6.149002393e-01
1.416303133e-01,1.070872058e+00,1.564871900e-01,-9.996760158e-01,-6.144151408e-01
1.424223016e-01,1.071312593e+00,1.574404818e-01,-9.996743779e-01,-6.139298119e-01
1.432148393e-01,1.071753838e+00,1.583952593e-01,-9.996727326e-01,-6.134442532e-01
1.440079268e-01,1.072195793e+00,1.593515239e-01,-9.996710799e-01,-6.129584656e-01
1.448015645e-01,1.072638461e+00,1.603092771e-01,-9.996694196e-01,-6.124724501e-01
1.455957528e-01,1.073081840e+00,1.612685202e-01,-9.996677517e-01,-6.119862074e-01
1.463904920e-01,1.073525934e+00,1.622292548e-01,-9.996660763e-01,-6.114997385e-01
1.471857826e-01,1.073970742e+00,1.631914821e-01,-9.996643933e-01,-6.110130441e-01
1.479816249e-01,1.074416265e+00,1.641552037e-01,-9.996627027e-01,-6.105261252e-01
1.487780193e-01,1.074862505e+00,1.651204210e-01,-9.996610044e-01,-6.100389825e-01
1.495749662e-01,1.075309463e+00,1.660871353e-01,-9.996592984e-01,-6.095516171e-01
1.503724659e-01,1.075757139e+00,1.670553482e-01,-9.996575846e-01,-6.090640297e-01
1.511705189e-01,1.076205534e+00,1.680250609e-01,-9.996558631e-01,-6.085762212e-01
1.519691256e-01,1.076654650e+00,1.689962750e-01,-9.996541338e-01,-6.080881924e-01
1.527682863e-01,1.077104488e+00,1.699689919e-01,-9.996523966e-01,-6.075999444e-01
1.535680013e-01,1.077555048e+00,1.709432129e-01,-9.996506516e-01,-6.071114778e-01
1.543682712e-01,1.078006331e+00,1.719189395e-01,-9.996488987e-01,-6.066227937e-01
1.551690962e-01,1.078458339e+00,1.728961732e-01,-9.996471378e-01,-6.061338928e-01
1.559704768e-01,1.078911072e+00,1.738749153e-01,-9.996453690e-01,-6.056447761e-01
1.567724134e-01,1.079364532e+00,1.748551673e-01,-9.996435921e-01,-6.051554445e-01
1.575749063e-01,1.079818720e+00,1.758369306e-01,-9.996418072e-01,-6.046658988e-01
1.583779558e-01,1.080273635e+00,1.768202066e-01,-9.996400143e-01,-6.041761398e-01
1.591815625e-01,1.080729281e+00,1.778049967e-01,-9.996382132e-01,-6.036861686e-01
1.599857267e-01,1.081185656e+00,1.787913024e-01,-9.996364040e-01,-6.031959860e-01
1.607904488e-01,1.081642763e+00,1.797791251e-01,-9.996345867e-01,-6.027055928e-01
1.615957291e-01,1.082100603e+00,1.807684663e-01,-9.996327611e-01,-6.022149900e-01
1.624015681e-01,1.082559176e+00,1.817593272e-01,-9.996309272e-01,-6.017241785e-01
1.632079661e-01,1.083018483e+00,1.827517095e-01,-9.996290851e-01,-6.012331591e-01
1.640149235e-01,1.083478526e+00,1.837456144e-01,-9.996272347e-01,-6.007419328e-01
1.648224408e-01,1.083939306e+00,1.847410435e-01,-9.996253759e-01,-6.002505004e-01
1.656305182e-01,1.084400823e+00,1.857379981e-01,-9.996235087e-01,-5.997588629e-01
1.664391563e-01,1.084863078e+00,1.867364797e-01,-9.996216331e-01,-5.992670211e-01
1.672483553e-01,1.085326073e+00,1.877364897e-01,-9.996197491e-01,-5.987749760e-01
1.680581157e-01,1.085789808e+00,1.887380295e-01,-9.996178565e-01,-5.982827284e-01
1.688684379e-01,1.086254285e+00,1.897411006e-01,-9.996159554e-01,-5.977902793e-01
1.696793222e-01,1.086719505e+00,1.907457044e-01,-9.996140458e-01,-5.972976296e-01
1.704907690e-01,1.087185468e+00,1.917518423e-01,-9.996121275e-01,-5.968047802e-01
1.713027788e-01,1.087652175e+00,1.927595158e-01,-9.996102006e-01,-5.963117319e-01
1.721153519e-01,1.088119628e+00,1.937687262e-01,-9.996082650e-01,-5.958184857e-01
1.729284887e-01,1.088587828e+00,1.947794750e-01,-9.996063207e-01,-5.953250426e-01
1.737421896e-01,1.089056775e+00,1.957917637e-01,-9.996043677e-01,-5.948314034e-01
1.745564550e-01,1.089526470e+00,1.968055937e-01,-9.996024058e-01,-5.943375690e-01
1.753712852e-01,1.089996916e+00,1.978209663e-01,-9.996004351e-01,-5.938435405e-01
1.761866808e-01,1.090468112e+00,1.988378831e-01,-9.995984556e-01,-5.933493186e-01
1.770026420e-01,1.090940059e+00,1.998563454e-01,-9.995964672e-01,-5.928549043e-01
1.778191693e-01,1.091412759e+00,2.008763547e-01,-9.995944698e-01,-5.923602985e-01
1.786362630e-01,1.091886213e+00,2.018979125e-01,-9.995924634e-01,-5.918655022e-01
1.794539236e-01,1.092360422e+00,2.029210201e-01,-9.995904481e-01,-5.913705163e-01
1.802721514e-01,1.092835386e+00,2.039456790e-01,-9.995884236e-01,-5.908753418e-01
1.810909469e-01,1.093311107e+00,2.049718906e-01,-9.995863901e-01,-5.903799794e-01
1.819103103e-01,1.093787586e+00,2.059996564e-01,-9.995843475e-01,-5.898844302e-01
1.827302422e-01,1.094264824e+00,2.070289778e-01,-9.995822956e-01,-5.893886952e-01
1.835507430e-01,1.094742821e+00,2.080598562e-01,-9.995802346e-01,-5.888927752e-01
1.843718129e-01,1.095221580e+00,2.090922930e-01,-9.995781643e-01,-5.883966711e-01
1.851934524e-01,1.095701100e+00,2.101262898e-01,-9.995760847e-01,-5.879003840e-01
